outcome_type,Index conditions,Outcome,Treatment comparisons,Trials,nct_id,participants,age,male,como_cnt,Zero,One,Two,Three+
cont,Osteoporosis,BMD Total Hip,"Bisphosphonates (M05BA) [2], Bisphosphonates (M05BA) vs Parathyroid hormones and analogues (H05AA) [1] & Parathyroid hormones and analogues (H05AA) [2]",5,NCT00046254;NCT00049829;NCT00051558;NCT00439244;NCT00670501,12465,72 (8.1),4.7%,2.79,6.1%,17.1%,23.9%,52.9%
cont,Parkinson Disease,UPDRS Total,Dopamine agonists (N04BC) [4],4,NCT00381472;NCT00402233;NCT00466167;NCT00479401,1759,62.7 (10),59%,2.04,13%,26.5%,27.1%,33.4%
cont,Psoriasis,PASI score,"Interleukin inhibitors (L04AC)-IL12-IL23 [2], Interleukin inhibitors (L04AC)-IL12-IL23 [3], Interleukin inhibitors (L04AC)-IL17A [4] & Tumor necrosis factor alpha (TNF-alpha) inhibitors (L04AB) [2]",11,NCT00265096;NCT00267969;NCT00307437;NCT01077362;NCT01087788;NCT01358578;NCT01365455;NCT01474512;NCT01646177,6143,45.7 (12.6),66.3%,1.3,27.3%,35.4%,23%,14.3%
cont,"Pulmonary Disease, Chronic Obstructive",FEV1,"Glucocorticoids (R03BA) [3], Selective beta-2-adrenoreceptor agonists (R03AC) [1] & Selective beta-2-adrenoreceptor agonists (R03AC) vs Anticholinergics (R03BB) [2]",6,NCT01316900;NCT01316913;NCT01772134;NCT01957163;NCT02119286;NCT02236611,4611,63.7 (8.5),67%,1.5,22.3%,33.5%,25.1%,19.1%
cont,Pulmonary Fibrosis,FVC,Other protein kinase inhibitors (L01EX) [2],2,NCT01335464;NCT01335477,1063,66.8 (8),79.3%,2.75,6.4%,17.6%,24.2%,51.8%
cont,Restless Legs Syndrome,RLS Symptom Score Total,Dopamine agonists (N04BC) [3],3,NCT00133198;NCT00363857;NCT00472199,1057,53.4 (12.9),38.9%,1.85,15.7%,29.1%,26.9%,28.3%
cont,"Rhinitis, allergic",Total Nasal Symptom Score,fluticasone (R01AD08) [1],1,NCT00289198,302,37.1 (16.4),43.4%,0.59,55.4%,32.7%,9.6%,2.3%
cont,Systemic Lupus Erythematosus,SLE Disease Activity Index,Selective immunosuppressants (L04AA) [2],2,NCT00410384;NCT00424476,1693,37.8 (11.5),6%,2.99,5%,15%,22.5%,57.5%
catg,Migraine,No. headaches,topiramate (N03AX11) [5],5,NCT00210912;NCT00212810;NCT00231595;NCT00236509;NCT00236561,1464,39.3 (11.9),14.6%,0.75,47.2%,35.4%,13.3%,4.1%
catg,Osteoporosis,Vertebral fracture,Parathyroid hormones and analogues (H05AA) [1] & Bisphosphonates (M05BA) [2],3,NCT00046254;NCT00049829;NCT00670501,11624,72.8 (7),4.4%,2.66,7%,18.6%,24.7%,49.7%
catg,Thromboembolic,Bleeding [1]; DVT or PE [1]; DVT or PE and Bleeding [7],"Vitamin K antagonists (B01AA) vs Direct thrombin inhibitors (B01AE) [4], Heparin group (B01AB) [1], B01AB vs B01AE [3] & B01AE [1]",9,NCT00152971;NCT00168818;NCT00262600;NCT00291330;NCT00329238;NCT00558259;NCT00657150;NCT00680186;NCT00694382,38717,64.9 (13.2),58.3%,1.57,20.8%,32.7%,25.6%,20.9%
